ID,target_color,target_shape,has_target,N_distractors,P_interfere,N_unique_distractors,number,pref,distractors,str_out,isright,input_tokens
4600,purple,triangle,True,2,1.0,2,0,col,"[{'color': 'purple', 'shape': 'triangle', 'pos': [303, 327]}, {'color': 'purple', 'shape': 'heart', 'pos': [290, 262]}, {'color': 'orange', 'shape': 'triangle', 'pos': [160, 68]}]",yes<end_of_turn>,True,301
4601,purple,triangle,True,2,1.0,2,0,sha,"[{'color': 'purple', 'shape': 'triangle', 'pos': [380, 358]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [311, 392]}, {'color': 'purple', 'shape': 'square', 'pos': [187, 409]}]",no<end_of_turn>,False,301
4602,purple,triangle,False,2,1.0,2,0,col,"[{'color': 'purple', 'shape': 'circle', 'pos': [420, 232]}, {'color': 'green', 'shape': 'triangle', 'pos': [359, 401]}]",no<end_of_turn>,True,301
4603,purple,triangle,False,2,1.0,2,0,sha,"[{'color': 'red', 'shape': 'triangle', 'pos': [233, 245]}, {'color': 'purple', 'shape': 'pentagon', 'pos': [343, 229]}]",no<end_of_turn>,True,301
4604,purple,triangle,True,4,0.0,4,0,col,"[{'color': 'purple', 'shape': 'triangle', 'pos': [126, 104]}, {'color': 'green', 'shape': 'star', 'pos': [182, 122]}, {'color': 'green', 'shape': 'square', 'pos': [307, 216]}, {'color': 'red', 'shape': 'square', 'pos': [427, 212]}, {'color': 'red', 'shape': 'star', 'pos': [90, 281]}]",yes<end_of_turn>,True,301
4605,purple,triangle,True,4,0.0,4,0,sha,"[{'color': 'purple', 'shape': 'triangle', 'pos': [97, 357]}, {'color': 'orange', 'shape': 'circle', 'pos': [45, 297]}, {'color': 'blue', 'shape': 'circle', 'pos': [401, 224]}, {'color': 'blue', 'shape': 'heart', 'pos': [225, 121]}, {'color': 'orange', 'shape': 'heart', 'pos': [121, 62]}]",yes<end_of_turn>,True,301
4606,purple,triangle,False,4,0.0,4,0,col,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [165, 178]}, {'color': 'yellow', 'shape': 'star', 'pos': [67, 408]}, {'color': 'yellow', 'shape': 'pentagon', 'pos': [356, 360]}, {'color': 'blue', 'shape': 'star', 'pos': [111, 356]}]",no<end_of_turn>,True,301
4607,purple,triangle,False,4,0.0,4,0,sha,"[{'color': 'yellow', 'shape': 'heart', 'pos': [414, 377]}, {'color': 'yellow', 'shape': 'square', 'pos': [342, 333]}, {'color': 'blue', 'shape': 'square', 'pos': [367, 88]}, {'color': 'blue', 'shape': 'heart', 'pos': [138, 122]}]",no<end_of_turn>,True,301
4608,purple,triangle,True,4,0.25,4,0,col,"[{'color': 'purple', 'shape': 'triangle', 'pos': [364, 279]}, {'color': 'purple', 'shape': 'square', 'pos': [427, 29]}, {'color': 'orange', 'shape': 'star', 'pos': [170, 33]}, {'color': 'red', 'shape': 'star', 'pos': [174, 299]}, {'color': 'orange', 'shape': 'square', 'pos': [388, 373]}]",no<end_of_turn>,False,301
4609,purple,triangle,True,4,0.25,4,0,sha,"[{'color': 'purple', 'shape': 'triangle', 'pos': [294, 200]}, {'color': 'red', 'shape': 'triangle', 'pos': [371, 127]}, {'color': 'blue', 'shape': 'heart', 'pos': [293, 344]}, {'color': 'red', 'shape': 'circle', 'pos': [245, 51]}, {'color': 'red', 'shape': 'heart', 'pos': [134, 213]}]",yes<end_of_turn>,True,301
