ID,target_color,target_shape,has_target,N_distractors,P_interfere,N_unique_distractors,number,pref,distractors,str_out,isright,input_tokens
4500,orange,star,True,2,0.5,2,0,col,"[{'color': 'orange', 'shape': 'star', 'pos': [266, 62]}, {'color': 'orange', 'shape': 'pentagon', 'pos': [200, 205]}, {'color': 'blue', 'shape': 'triangle', 'pos': [153, 35]}]",no<end_of_turn>,False,301
4501,orange,star,True,2,0.5,2,0,sha,"[{'color': 'orange', 'shape': 'star', 'pos': [62, 196]}, {'color': 'blue', 'shape': 'star', 'pos': [369, 253]}, {'color': 'red', 'shape': 'circle', 'pos': [140, 187]}]",yes<end_of_turn>,True,301
4502,orange,star,False,2,0.5,2,0,col,"[{'color': 'orange', 'shape': 'circle', 'pos': [294, 247]}, {'color': 'red', 'shape': 'heart', 'pos': [197, 246]}]",no<end_of_turn>,True,301
4503,orange,star,False,2,0.5,2,0,sha,"[{'color': 'blue', 'shape': 'star', 'pos': [226, 311]}, {'color': 'yellow', 'shape': 'square', 'pos': [384, 403]}]",no<end_of_turn>,True,301
4504,orange,star,True,2,1.0,2,0,col,"[{'color': 'orange', 'shape': 'star', 'pos': [281, 424]}, {'color': 'orange', 'shape': 'square', 'pos': [257, 292]}, {'color': 'green', 'shape': 'star', 'pos': [197, 420]}]",yes<end_of_turn>,True,301
4505,orange,star,True,2,1.0,2,0,sha,"[{'color': 'orange', 'shape': 'star', 'pos': [148, 27]}, {'color': 'purple', 'shape': 'star', 'pos': [325, 132]}, {'color': 'orange', 'shape': 'circle', 'pos': [35, 296]}]",no<end_of_turn>,False,301
4506,orange,star,False,2,1.0,2,0,col,"[{'color': 'orange', 'shape': 'square', 'pos': [131, 105]}, {'color': 'purple', 'shape': 'star', 'pos': [178, 412]}]",no<end_of_turn>,True,301
4507,orange,star,False,2,1.0,2,0,sha,"[{'color': 'green', 'shape': 'star', 'pos': [55, 360]}, {'color': 'orange', 'shape': 'heart', 'pos': [289, 258]}]",no<end_of_turn>,True,301
4508,orange,star,True,4,0.0,4,0,col,"[{'color': 'orange', 'shape': 'star', 'pos': [100, 212]}, {'color': 'yellow', 'shape': 'square', 'pos': [105, 244]}, {'color': 'blue', 'shape': 'triangle', 'pos': [72, 94]}, {'color': 'blue', 'shape': 'square', 'pos': [314, 171]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [348, 275]}]",yes<end_of_turn>,True,301
4509,orange,star,True,4,0.0,4,0,sha,"[{'color': 'orange', 'shape': 'star', 'pos': [358, 198]}, {'color': 'green', 'shape': 'triangle', 'pos': [272, 293]}, {'color': 'blue', 'shape': 'circle', 'pos': [234, 214]}, {'color': 'blue', 'shape': 'triangle', 'pos': [333, 233]}, {'color': 'green', 'shape': 'circle', 'pos': [130, 394]}]",yes<end_of_turn>,True,301
4510,orange,star,False,4,0.0,4,0,col,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [412, 396]}, {'color': 'green', 'shape': 'pentagon', 'pos': [210, 16]}, {'color': 'blue', 'shape': 'heart', 'pos': [124, 385]}, {'color': 'green', 'shape': 'heart', 'pos': [380, 128]}]",no<end_of_turn>,True,301
4511,orange,star,False,4,0.0,4,0,sha,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [26, 153]}, {'color': 'green', 'shape': 'pentagon', 'pos': [127, 234]}, {'color': 'green', 'shape': 'circle', 'pos': [304, 340]}, {'color': 'blue', 'shape': 'circle', 'pos': [231, 43]}]",no<end_of_turn>,True,301
