ID,target_color,target_shape,has_target,N_distractors,P_interfere,N_unique_distractors,number,pref,distractors,str_out,isright,input_tokens
0400,red,star,True,8,0.0,4,0,col,"[{'color': 'red', 'shape': 'star', 'pos': [390, 79]}, {'color': 'blue', 'shape': 'triangle', 'pos': [290, 311]}, {'color': 'blue', 'shape': 'triangle', 'pos': [31, 22]}, {'color': 'blue', 'shape': 'pentagon', 'pos': [36, 212]}, {'color': 'blue', 'shape': 'pentagon', 'pos': [288, 344]}, {'color': 'orange', 'shape': 'pentagon', 'pos': [429, 161]}, {'color': 'orange', 'shape': 'pentagon', 'pos': [82, 289]}, {'color': 'orange', 'shape': 'triangle', 'pos': [103, 95]}, {'color': 'orange', 'shape': 'triangle', 'pos': [286, 133]}]",yes<end_of_turn>,True,301
0401,red,star,True,8,0.0,4,0,sha,"[{'color': 'red', 'shape': 'star', 'pos': [288, 422]}, {'color': 'purple', 'shape': 'heart', 'pos': [201, 132]}, {'color': 'purple', 'shape': 'heart', 'pos': [178, 197]}, {'color': 'blue', 'shape': 'triangle', 'pos': [354, 25]}, {'color': 'blue', 'shape': 'triangle', 'pos': [17, 197]}, {'color': 'purple', 'shape': 'triangle', 'pos': [170, 57]}, {'color': 'purple', 'shape': 'triangle', 'pos': [295, 333]}, {'color': 'blue', 'shape': 'heart', 'pos': [17, 284]}, {'color': 'blue', 'shape': 'heart', 'pos': [243, 38]}]",yes<end_of_turn>,True,301
0402,red,star,False,8,0.0,4,0,col,"[{'color': 'blue', 'shape': 'square', 'pos': [179, 51]}, {'color': 'blue', 'shape': 'square', 'pos': [361, 208]}, {'color': 'green', 'shape': 'circle', 'pos': [90, 71]}, {'color': 'green', 'shape': 'circle', 'pos': [362, 105]}, {'color': 'green', 'shape': 'square', 'pos': [383, 244]}, {'color': 'green', 'shape': 'square', 'pos': [250, 296]}, {'color': 'blue', 'shape': 'circle', 'pos': [21, 122]}, {'color': 'blue', 'shape': 'circle', 'pos': [226, 259]}]",no<end_of_turn>,True,301
0403,red,star,False,8,0.0,4,0,sha,"[{'color': 'orange', 'shape': 'circle', 'pos': [269, 59]}, {'color': 'orange', 'shape': 'circle', 'pos': [31, 243]}, {'color': 'blue', 'shape': 'circle', 'pos': [355, 248]}, {'color': 'blue', 'shape': 'circle', 'pos': [170, 325]}, {'color': 'blue', 'shape': 'triangle', 'pos': [74, 242]}, {'color': 'blue', 'shape': 'triangle', 'pos': [17, 21]}, {'color': 'orange', 'shape': 'triangle', 'pos': [244, 256]}, {'color': 'orange', 'shape': 'triangle', 'pos': [92, 162]}]",no<end_of_turn>,True,301
0404,red,star,True,8,0.25,4,0,col,"[{'color': 'red', 'shape': 'star', 'pos': [62, 260]}, {'color': 'red', 'shape': 'pentagon', 'pos': [258, 332]}, {'color': 'red', 'shape': 'pentagon', 'pos': [225, 214]}, {'color': 'purple', 'shape': 'circle', 'pos': [109, 205]}, {'color': 'purple', 'shape': 'circle', 'pos': [379, 50]}, {'color': 'green', 'shape': 'circle', 'pos': [66, 313]}, {'color': 'green', 'shape': 'circle', 'pos': [23, 396]}, {'color': 'green', 'shape': 'pentagon', 'pos': [48, 119]}, {'color': 'green', 'shape': 'pentagon', 'pos': [30, 44]}]",yes<end_of_turn>,True,301
0405,red,star,True,8,0.25,4,0,sha,"[{'color': 'red', 'shape': 'star', 'pos': [40, 294]}, {'color': 'orange', 'shape': 'star', 'pos': [110, 349]}, {'color': 'orange', 'shape': 'star', 'pos': [101, 29]}, {'color': 'blue', 'shape': 'triangle', 'pos': [304, 218]}, {'color': 'blue', 'shape': 'triangle', 'pos': [424, 422]}, {'color': 'blue', 'shape': 'circle', 'pos': [413, 164]}, {'color': 'blue', 'shape': 'circle', 'pos': [362, 44]}, {'color': 'orange', 'shape': 'triangle', 'pos': [80, 163]}, {'color': 'orange', 'shape': 'triangle', 'pos': [343, 222]}]",yes<end_of_turn>,True,301
0406,red,star,False,8,0.25,4,0,col,"[{'color': 'red', 'shape': 'pentagon', 'pos': [255, 265]}, {'color': 'red', 'shape': 'pentagon', 'pos': [413, 200]}, {'color': 'blue', 'shape': 'circle', 'pos': [303, 289]}, {'color': 'blue', 'shape': 'circle', 'pos': [371, 88]}, {'color': 'green', 'shape': 'circle', 'pos': [171, 73]}, {'color': 'green', 'shape': 'circle', 'pos': [149, 200]}, {'color': 'green', 'shape': 'pentagon', 'pos': [412, 152]}, {'color': 'green', 'shape': 'pentagon', 'pos': [214, 226]}]",yes<end_of_turn>,False,301
0407,red,star,False,8,0.25,4,0,sha,"[{'color': 'yellow', 'shape': 'star', 'pos': [330, 381]}, {'color': 'yellow', 'shape': 'star', 'pos': [96, 246]}, {'color': 'orange', 'shape': 'heart', 'pos': [240, 243]}, {'color': 'orange', 'shape': 'heart', 'pos': [399, 229]}, {'color': 'yellow', 'shape': 'pentagon', 'pos': [196, 77]}, {'color': 'yellow', 'shape': 'pentagon', 'pos': [107, 71]}, {'color': 'orange', 'shape': 'pentagon', 'pos': [222, 366]}, {'color': 'orange', 'shape': 'pentagon', 'pos': [268, 152]}]",no<end_of_turn>,True,301
0408,red,star,True,8,0.5,4,0,col,"[{'color': 'red', 'shape': 'star', 'pos': [26, 358]}, {'color': 'red', 'shape': 'pentagon', 'pos': [368, 24]}, {'color': 'red', 'shape': 'pentagon', 'pos': [199, 411]}, {'color': 'blue', 'shape': 'star', 'pos': [183, 150]}, {'color': 'blue', 'shape': 'star', 'pos': [381, 410]}, {'color': 'purple', 'shape': 'circle', 'pos': [251, 225]}, {'color': 'purple', 'shape': 'circle', 'pos': [199, 190]}, {'color': 'purple', 'shape': 'pentagon', 'pos': [246, 154]}, {'color': 'purple', 'shape': 'pentagon', 'pos': [69, 211]}]",yes<end_of_turn>,True,301
0409,red,star,True,8,0.5,4,0,sha,"[{'color': 'red', 'shape': 'star', 'pos': [422, 165]}, {'color': 'green', 'shape': 'star', 'pos': [177, 42]}, {'color': 'green', 'shape': 'star', 'pos': [310, 130]}, {'color': 'red', 'shape': 'heart', 'pos': [116, 83]}, {'color': 'red', 'shape': 'heart', 'pos': [410, 409]}, {'color': 'purple', 'shape': 'triangle', 'pos': [131, 286]}, {'color': 'purple', 'shape': 'triangle', 'pos': [354, 259]}, {'color': 'green', 'shape': 'heart', 'pos': [275, 329]}, {'color': 'green', 'shape': 'heart', 'pos': [415, 17]}]",yes<end_of_turn>,True,301
