image_id,start,end,is_correct,steer_out,out0,P0,out1,P1,out2,P2,out3,P3
010,green,red,True,red<|im_end|>,red,0.8591731190681458,green,0.11627643555402756,The,0.013887239620089531,Red,0.008423036895692348
011,green,red,True,Red<|im_end|>,Red,0.8983538150787354,The,0.0737413763999939,red,0.027127934619784355,Green,0.0007229350158013403
012,green,red,False,green<|im_end|>,green,0.5908153653144836,The,0.14938151836395264,orange,0.07056283205747604,Orange,0.06227147951722145
013,green,red,False,Yellow<|im_end|>,Yellow,0.8433946967124939,Light,0.04758107662200928,yellow,0.03270196169614792,green,0.025468314066529274
014,green,red,False,Green<|im_end|>,Green,0.3507876396179199,green,0.30956900119781494,The,0.11388406902551651,Red,0.0782713070511818
015,green,red,False,green<|im_end|>,green,0.6282835602760315,Green,0.26190754771232605,The,0.06622059643268585,yellow,0.014775813557207584
016,green,red,False,The car is,The,0.4559274911880493,red,0.3550766706466675,Red,0.1306254118680954,green,0.04240785911679268
017,green,red,False,Green<|im_end|>,Green,0.9270546436309814,Red,0.059264618903398514,The,0.007078149355947971,green,0.00551246851682663
018,green,red,False,Yellow<|im_end|>,Yellow,0.5670399069786072,green,0.20860233902931213,Green,0.1265237033367157,yellow,0.0869583860039711
019,green,red,False,green<|im_end|>,green,0.7237537503242493,Green,0.26625415682792664,The,0.009110715240240097,red,0.0005139913992024958
020,blue,red,False,blue<|im_end|>,blue,0.7032454013824463,Blue,0.20148319005966187,The,0.07412151992321014,red,0.007812351454049349
021,blue,red,False,blue<|im_end|>,blue,0.8415489792823792,Blue,0.1462392657995224,The,0.010593538172543049,cyan,0.0006772222113795578
022,blue,red,False,Blue<|im_end|>,Blue,0.8439099788665771,The,0.1466495543718338,blue,0.009374993853271008,èĵĿèī²,3.381150236236863e-05
023,blue,red,False,Blue<|im_end|>,Blue,0.8930602669715881,The,0.09412785619497299,blue,0.012738820165395737,Red,4.594336132868193e-05
024,blue,red,False,Blue<|im_end|>,Blue,0.7003893256187439,blue,0.2919657230377197,The,0.006866375915706158,Purple,0.00020734658755827695
025,blue,red,False,blue<|im_end|>,blue,0.6012950539588928,Blue,0.36470386385917664,white,0.020575184375047684,White,0.00405149394646287
026,blue,red,False,Blue<|im_end|>,Blue,0.5600818395614624,The,0.43619218468666077,blue,0.0029390398412942886,Red,0.0007431056583300233
027,blue,red,False,The car is,The,0.5248655676841736,blue,0.19308727979660034,Blue,0.19308727979660034,red,0.05532042309641838
028,blue,red,False,Blue<|im_end|>,Blue,0.7729993462562561,blue,0.15221257507801056,The,0.0719001367688179,Light,0.0021711960434913635
029,blue,red,False,blue<|im_end|>,blue,0.8056337237358093,Blue,0.10903066396713257,The,0.08491316437721252,red,0.0003062447067350149
030,yellow,red,True,red<|im_end|>,red,0.8952998518943787,Red,0.08327585458755493,yellow,0.014471174217760563,The,0.004698102828115225
031,yellow,red,False,green<|im_end|>,green,0.9054295420646667,Green,0.0743221789598465,The,0.01139767561107874,Bright,0.005383880343288183
032,yellow,red,False,The notebook is,The,0.9244946837425232,Yellow,0.03584655001759529,Red,0.01918727532029152,yellow,0.010270209051668644
033,yellow,red,False,Purple<|im_end|>,Purple,0.509932279586792,Yellow,0.24087496101856232,purple,0.1460980474948883,The,0.08861293643712997
034,yellow,red,True,red<|im_end|>,red,0.9264559149742126,Red,0.05226706713438034,yellow,0.014974764548242092,The,0.00378621369600296
035,yellow,red,False,purple<|im_end|>,purple,0.4057167172431946,Purple,0.1916470229625702,The,0.09052763879299164,Yellow,0.09052763879299164
036,yellow,red,True,Red<|im_end|>,Red,0.9129103422164917,The,0.058360401540994644,red,0.027567503973841667,Yellow,0.0010689080227166414
037,yellow,red,False,The car is,The,0.6475709080696106,Yellow,0.23822805285453796,yellow,0.11253094673156738,red,0.0006691335001960397
038,yellow,red,False,purple<|im_end|>,purple,0.9253185987472534,Purple,0.05220290645956993,pink,0.016947802156209946,The,0.003781565697863698
039,yellow,red,False,Purple<|im_end|>,Purple,0.6315018534660339,purple,0.33801859617233276,The,0.021608805283904076,pink,0.003755047218874097
